Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Гоголь-Яновська,Зиновій,Андрійович,Чоловік,2008-07-20,Реставратор,село Армянськ,"провулок Новосельского, буд. 8 кв. 87, Снятин, 72241",+380 82 608-43-61,pavlo43@example.org
Овчаренко,Амвросій,Михайлович,Чоловік,1981-11-06,Медик,хутір Коростишів,"площа Балтський 2-й, буд. 3 кв. 554, Первомайський , 09624",034 448 44 06,talanleopold@example.org
Приходько,Владислав,Георгійович,Чоловік,2002-06-23,Єгер,місто Звенигородка,"узвіз Семінарська, буд. 4 кв. 14, Суходільськ, 78574",097 848 41 07,ihnatlazarenko@example.net
Запорожець,Орина,Миколаївна,Жінка,1995-03-03,Громадський діяч,село Барвінкове,"парк Крижанівський, буд. 39 кв. 9, Новомиргород, 42466",+380 02 270-42-38,viktor53@example.org
Чумаченко,Маруся,Володимирівна,Жінка,2002-05-21,Кіноактор,село Татарбунари,"шосе Тіниста, буд. 77, Вилкове, 77704",+380 18 788-95-17,hryhorii71@example.net
Туркало,Олена,Павлівна,Жінка,1996-07-03,Інженер,хутір Рубіжне,"проспект Черешнева, буд. 309 кв. 86, Южне, 63882",357-17-62,skyrdaerika@example.net
Гаврюшенко,Юстина,Дмитрівна,Жінка,1983-03-16,Паблік рилейшнз,село Бориспіль,"узвіз Жаботинського, буд. 060 кв. 42, Гуляйполе, 97751",+380 73 301 51 72,viktoriia74@example.net
Усик,Камілла,Олександрівна,Жінка,1946-01-08,Круп'є,місто Дніпро ,"площа Кристаловського, буд. 6 кв. 15, Сніжне, 23454",+380 94 226 24 78,semen51@example.org
Тесля,Данило,Сергійович,Чоловік,1955-02-26,Ювелір,місто Залізне,"вулиця Проїзний 1-й, буд. 073 кв. 105, Вільногірськ, 40235",+380 67 476-76-89,ohrechanyk@example.org
Ванченко,Соломія,Олегівна,Жінка,2005-10-09,Краєзнавець,місто Петрово-Красносілля,"парк Вапняний 1-й, буд. 072, Дніпрорудне, 65556",+380 05 693-66-20,andriichukkhrystyna@example.com
Левченко,Леонтій,Максимович,Чоловік,1962-04-03,Державний службовець,місто Тлумач,"парк Красносільська, буд. 56, Семенівка, 14589",800 81 86,nadiiashvachko@example.com
Кириленко,Давид,Іванович,Чоловік,2004-06-12,Няня,селище Галич,"шосе Черепанових, буд. 30 кв. 190, Армянськ, 29890",824 07 56,ustymchekaliuk@example.com
Ватаманюк,Віра,Григорівна,Жінка,1964-07-23,Фермер,село Кременець,"сквер Штабний, буд. 8 кв. 1, Коростень, 61204",+380 37 778-01-31,vlokhhlib@example.net
Чуйко,Артем,Георгійович,Чоловік,2007-11-02,Складальник,місто Татарбунари,"набережна Коцюбинського, буд. 058, Буськ, 17577",999-37-26,xshutko@example.net
Єрченко,Симон,Сергійович,Чоловік,1977-01-22,Музичний редактор,місто Батурин,"сквер Ананьївська, буд. 3 кв. 0, Новомосковськ, 48770",677-90-26,zhukteodor@example.net
Радченко,Микита,Васильович,Чоловік,1947-11-11,Гірник,хутір Очаків,"площа Літня, буд. 5, Кам'янка (Черкаська область), 31999",+380 25 271 28 76,dhrechko@example.com
Товстоліс,Пилип,Євгенович,Чоловік,1946-08-16,Електротехнік,місто Українськ,"сквер Теліги Олени, буд. 39 кв. 20, Тернівка , 35181",+380 (25) 621-97-02,iosypishchak@example.org
Алексійчук,Людмила,Борисівна,Жінка,1946-09-26,Кухар,селище Чорноморськ,"парк Авіаторів, буд. 9 кв. 5, Лутугине, 72023",116-60-13,sdotsenko@example.com
Савенко,Опанас,Тарасович,Чоловік,1991-03-31,Архітектор,хутір Бахчисарай,"набережна Канатний, буд. 0, Середина-Буда, 97836",072 459-56-53,iefrem50@example.net
Овчаренко,Роксолана,Дмитрівна,Жінка,1963-05-04,Ді-джей,село Судова Вишня,"вулиця Амурський 1-й, буд. 30, Яремче, 72791",011 66 80,boryslav92@example.org
Дерегус,Михайлина,Василівна,Жінка,1993-05-03,Дерун,село Херсон,"вулиця Рівності, буд. 855, Гадяч, 63146",158 73 83,aaronvalenko@example.net
Хоменко,Віра,Олегівна,Жінка,1980-10-14,Ветеринар,хутір Новодружеськ,"сквер Вузький, буд. 856 кв. 1, Рені, 63591",+380 (36) 850-99-99,boleslav35@example.net
Яремчук,Тимофій,Максимович,Чоловік,1980-09-09,Маркетолог,селище Білопілля,"вулиця Марії Демченко, буд. 399, Шостка, 41868",+380 70 948-99-73,vashchenkovarfolomii@example.org
Єрченко,Єва,Василівна,Жінка,1977-11-22,Паралегал,село Голубівка,"площа Академіка Воробйова, буд. 29 кв. 5, Богуслав, 98979",+380 33 830-63-39,iosyp82@example.net
Ярош,Ростислав,Петрович,Чоловік,1981-01-21,Промисловець,хутір Балта,"площа Навігаційний, буд. 5 кв. 894, Чернівці, 53956",+380 87 403-69-69,mykhailyna80@example.net
Малик,Софія,Георгіївна,Жінка,1941-07-31,Реставратор,місто Ладижин,"вулиця Лазурний 3-й, буд. 70, Свалява, 33379",+380 04 542-79-41,anita80@example.net
Єрьоменко,Еріка,Григорівна,Жінка,1948-08-30,Дизайнер,селище Привілля,"набережна Панченка, буд. 8 кв. 372, Нова Одеса, 68642",+380 84 584 00 68,ohavrysh@example.com
Швачко,Юстина,Михайлівна,Жінка,1988-06-25,Паблік рилейшнз,село Кобеляки,"проспект Крилова, буд. 4 кв. 49, Верхівцеве, 20556",079 530-93-61,ruslankaras@example.com
Усик,Михайлина,Василівна,Жінка,1942-02-03,Геолог,село Стебник,"набережна Шахтинський, буд. 22, Красногорівка, 44329",+380 83 031 77 70,tymchukorest@example.net
Козак,Святослава,Степанівна,Жінка,1956-08-17,Правник,місто Моспине,"вулиця Баштанна, буд. 19 кв. 14, Ніжин, 94707",975 13 64,nlahoda@example.net
Назаренко,Ігор,Іванович,Чоловік,1993-11-23,Парфюмер,село Умань,"вулиця 11-та ст. Великого Фонтану пляж, буд. 9 кв. 1, Хрустальний, 99085",174 51 08,romanshchyrytsia@example.org
Адамчук,Михайлина,Олегівна,Жінка,1961-01-20,Кіноактор,село Володимир-Волинський,"парк Фестивальний, буд. 309 кв. 804, Тлумач, 77179",+380 (85) 288-46-60,danylochornovil@example.com
Дзиндра,Михайло,Георгійович,Чоловік,1960-06-15,Живописець,хутір Перещепине,"проспект Новосельского, буд. 52, Сквира, 44568",+380 81 273-75-38,marko04@example.org
Єсипенко,Остап,Максимович,Чоловік,1939-07-29,Музикант,селище Червоносів,"парк 14-та ст. Великого Фонтану пляж, буд. 4 кв. 8, Камінь-Каширський, 48844",499-69-15,skorobohatkoorkhyp@example.net
Базавлученко,Веніямин,Сергійович,Чоловік,1995-03-25,Каскадер,хутір Коростень,"сквер Артезіанська, буд. 4 кв. 746, Вилкове, 20968",483-67-70,leon12@example.com
Гузь,Ада,Іванівна,Жінка,1981-08-29,Антрополог,хутір Запоріжжя,"узвіз Сибірська, буд. 993 кв. 7, Моршин, 70147",+380 01 870-13-79,adamchervonenko@example.org
Микитюк,Євген,Миколайович,Чоловік,1951-07-10,Водій,хутір Первомайськ,"набережна Сливова, буд. 528, Балта, 72885",608-96-79,olenanosachenko@example.net
Шаповал,Вадим,Дмитрович,Чоловік,1957-02-20,Візажист,хутір Остер ,"набережна Вчительської, 2-й, буд. 81, Камінь-Каширський, 16712",023 059-59-78,iashchukborys@example.com
Сомко,Мілена,Сергіївна,Жінка,1958-10-04,Ювелір,село Вознесенськ,"парк Тимірязєва 3-й, буд. 0 кв. 6, Прип'ять , 02291",+380 (95) 885-80-23,wbabiichuk@example.org
Девдюк,Богуслав,Борисович,Чоловік,1945-05-19,Будник,хутір Миколаївка ,"шосе Кримський, буд. 7, Карлівка, 95776",+380 95 024-26-53,ipavlychenko@example.org
Гресь,Максим,Дмитрович,Чоловік,1960-05-31,Філолог,хутір Могилів-Подільський,"проспект Довга, буд. 098 кв. 695, Бережани, 68839",+380 43 092-91-13,levko38@example.net
Бабенко,Геннадій,Борисович,Чоловік,1986-12-21,Лікар,хутір Почаїв,"провулок Лінія 30-та, буд. 573 кв. 13, Ірміно, 25500",309-01-75,kdurdynets@example.net
Демиденко,Марʼяна,Миколаївна,Жінка,1953-11-10,Математик,місто Хуст,"площа Пілотна, буд. 45 кв. 855, Авдіївка, 76834",+380 93 342-82-58,leopold73@example.com
Доценко,Любов,Борисівна,Жінка,1955-02-05,Електротехнік,хутір Соледар,"парк Левадна, буд. 30, Кам'янка-Бузька, 68864",+380 00 106-82-56,oksana47@example.com
Самойленко,Алевтин,Степанович,Чоловік,1976-10-10,Штукатур,хутір Новомиргород,"вулиця Матроський узвіз, буд. 98 кв. 390, Кропивницький, 47744",+380 33 597-60-02,solomiiadubenko@example.net
Вертипорох,Франц,Георгійович,Чоловік,1982-12-24,Інженер,хутір Оріхів,"проспект Ковалевського узвіз, буд. 3, Тальне, 31462",018 058-94-33,mvasylashko@example.net
Стус,Лілія,Євгенівна,Жінка,1949-04-06,Дизайнер,селище Червоноград,"площа Проектна 1-ша, буд. 7 кв. 7, Сніжне, 03143",+380 (84) 144-39-00,orynaredko@example.net
Хомик,Надія,Іванівна,Жінка,2006-07-20,Дипломат,село Монастирище,"проспект Юхима Геллера, буд. 299 кв. 43, Бориспіль, 99828",+380 47 349-95-75,amaliiashvachko@example.org
Сомко,Любов,Іванівна,Жінка,1966-06-25,Адвокат,місто Жовква,"проспект Ювілейний 2-й, буд. 975 кв. 845, Радомишль, 39945",+380 25 670-12-83,oleksa39@example.org
Павлик,Надія,Євгенівна,Жінка,1976-08-08,Філолог,хутір Старокостянтинів,"сквер Басейний 2-й, буд. 000 кв. 790, Українськ, 36267",273 19 59,averchenkoliudmyla@example.net
Рудик,Франц,Іванович,Чоловік,1942-09-23,Будник,хутір Харцизьк,"узвіз Кристаловського, буд. 8 кв. 3, Городня, 46289",+380 09 666-83-53,tereshchenkoamaliia@example.net
Гузій,Панас,Павлович,Чоловік,1943-03-08,Няня,місто Горохів,"парк 2-й Академічний тупик, буд. 3 кв. 464, Жданівка, 47256",+380 (29) 993-12-29,ciaremchuk@example.org
Пустовіт,Марта,Павлівна,Жінка,1961-05-19,Музикант,село Голубівка,"сквер Воронезька, буд. 86, Березань , 51637",934 34 13,danchukhavrylo@example.com
Девдюк,Леон,Степанович,Чоловік,2007-11-10,Модель,місто Самбір,"шосе Першотравневий 1-й, буд. 397 кв. 701, Ворожба, 58402",+380 50 370-43-53,serhiistelmakh@example.com
Ґалаґан,Орхип,Тарасович,Чоловік,1996-07-09,Актор,село Марганець ,"площа Лінія 53-тя, буд. 998, Самбір, 74934",330 53 53,martaholyk@example.net
Верес,Клавдія,Григорівна,Жінка,1944-10-23,Мовознавець,селище Хорол ,"парк Лип Івана та Юрія, буд. 5 кв. 0, Надвірна, 36886",049 033-23-45,eandriienko@example.org
Бабич,Едуард,Михайлович,Чоловік,2000-02-14,Кінорежисер,місто Броди,"проспект Строганов міст, буд. 75 кв. 784, Сулимівка (Слов'янськ), 92448",386-05-15,petro87@example.org
Гайворонський,Марʼяна,Романівна,Жінка,2008-07-31,Драматург,хутір Хрестівка,"провулок Сирітський, буд. 97 кв. 541, Мала Виска, 20201",414 56 55,zubkodanylo@example.org
Баран,Олена,Тарасівна,Жінка,1989-05-08,Петрограф,селище Нова Одеса,"площа Шолохова, буд. 570 кв. 433, Тетіїв, 42043",820-90-61,fiaremko@example.net
Голик,Станіслав,Михайлович,Чоловік,1966-06-23,Пекар,село Берестечко,"парк Соборна, буд. 156, Коростишів, 59698",054 177 42 70,davydsyrotenko@example.net
Заруба,Клавдія,Романівна,Жінка,1993-11-18,Каскадер,село Трускавець,"набережна Лазурний 6-й, буд. 09, Покров, 19991",843 59 16,ntsymbaliuk@example.com
Ванченко,Мілена,Григорівна,Жінка,1978-07-13,Режисер,хутір Заводське,"площа Грецький, буд. 70 кв. 736, Угнів, 25637",525-81-94,volodymyrazabila@example.net
Колісниченко,Макар,Григорович,Чоловік,1976-09-09,Кінолог,місто Чуднів,"узвіз Рівності 1-й, буд. 7 кв. 135, Лебедин, 28320",037-52-06,ahaidai@example.org
Ґжицький,Роксолана,Степанівна,Жінка,1974-06-28,Бібліограф,селище Фастів,"проспект Дунаєва, буд. 612, Дніпрорудне, 74724",+380 99 045 16 25,fesenkooleksandr@example.com
Литвин,Давид,Дмитрович,Чоловік,1944-10-24,Палеонтолог,хутір Глухів,"провулок Гранатний, буд. 5 кв. 4, Деражня, 52574",+380 28 573-67-19,tsisyklarysa@example.net
Редько,Христина,Володимирівна,Жінка,1999-02-19,Інженер,селище Білогірськ,"парк Балтська дорога, буд. 5 кв. 05, Трускавець, 37313",+380 46 015 13 06,lsirobaba@example.org
Вакуленко,Амалія,Борисівна,Жінка,1939-08-21,Піаніст,хутір Кодима,"вулиця Історія Футболу, буд. 504 кв. 5, Мар'їнка, 91030",+380 (40) 170-00-41,amvrosii42@example.net
Дейнеко,Олена,Володимирівна,Жінка,1989-01-29,Пекар,хутір Вільнянськ,"вулиця Цементний, буд. 3 кв. 74, Синельникове, 61972",+380 (91) 860-95-65,alla30@example.org
Сацюк,Едуард,Олегович,Чоловік,1943-11-09,Адвокат,місто Нетішин,"узвіз Данила Крижанівського, буд. 1, Миргород, 88392",001 991 93 24,marta52@example.com
Супруненко,Христина,Володимирівна,Жінка,1961-03-29,Скульптор,хутір Калуш,"провулок Педагогічний, буд. 78, Бориспіль, 05005",+380 (46) 084-02-07,avramchukliudmyla@example.com
Цюпа,Венедикт,Володимирович,Чоловік,1976-03-31,Актор,селище Кілія,"узвіз Молокова, буд. 32 кв. 1, Миколаїв, 47522",+380 (18) 286-73-58,baidakhryhorii@example.org
Дуплій,Юстим,Васильович,Чоловік,1990-08-30,Золотар,місто Тернівка ,"парк Ананьївська, буд. 6 кв. 959, Нове Давидково, 37741",062 183-64-46,qshyian@example.org
Франко,Ярина,Олегівна,Жінка,1946-05-08,Промисловець,село Євпаторія,"площа Соборна, буд. 59, Іллінці, 80891",295 28 69,priskakhomyk@example.net
Ґжицька,Олесь,Дмитрович,Чоловік,2000-12-04,Гірник,хутір Привілля,"шосе Юннатів 1-й, буд. 96, Берестечко, 37230",631-28-71,egerus@example.org
Гунько,Марина,Степанівна,Жінка,1950-07-25,Етнограф,місто Олександрівськ,"сквер Офіцерська, буд. 203, Шепетівка, 53682",508 20 09,valentyn08@example.org
Андріїшин,Лілія,Максимівна,Жінка,1965-09-09,Ґрунтознавець,село Первомайськ,"проспект Соляний 7-й, буд. 7 кв. 7, Тячів, 17300",+380 46 517-12-03,deinekaivan@example.com
Приходько,Владислав,Миколайович,Чоловік,1953-04-11,Антрополог,селище Тростянець,"набережна Чайковського, буд. 94, Васильків, 31573",844 36 27,havryshkevychdanna@example.org
Мірошниченко,Аврелій,Павлович,Чоловік,1977-10-31,Фармацевт,місто Іршава,"узвіз Дзвінка, буд. 3 кв. 174, Боково-Хрустальне, 74885",033 948-63-41,viktoriiaasaula@example.net
Кальченко,Пармен,Павлович,Чоловік,1992-01-17,Професор,село Очаків,"парк Сурикова 1-й, буд. 11, Харцизьк, 30000",+380 31 772-64-25,fedir65@example.net
Зайченко,Костянтин,Петрович,Чоловік,1991-07-12,Маркетолог,селище Горішні Плавні,"площа Пржевальського, буд. 47, Суми, 79664",280 69 43,virailienko@example.net
Батіг,Василина,Михайлівна,Жінка,1943-01-04,Художник,селище Євпаторія,"шосе Туристська, буд. 67 кв. 68, Барвінкове, 14965",136 09 84,mvermenych@example.com
Євдокименко,Людмила,Максимівна,Жінка,1953-05-16,Психолог,місто Шаргород,"шосе Хімічний 1-й, буд. 78, Свалява, 89034",744 90 72,shyianvioletta@example.com
Юрчук,Аарон,Миколайович,Чоловік,1968-06-12,Редактор,село Алмазна,"площа Посмітного, буд. 651, Бучач, 39822",066 435 10 58,mykolai29@example.net
Козаченко,Данна,Миколаївна,Жінка,1943-02-05,Редактор,хутір Моспине,"площа Середня, буд. 185 кв. 544, Шостка, 86816",817 60 24,cartym@example.org
Гаврилюк,Богуслава,Максимівна,Жінка,1968-12-22,Астроном,хутір Селидове,"узвіз Академічний, буд. 48 кв. 00, Яремче, 46042",+380 47 744 21 93,stanislav58@example.org
Юхименко,Аврелій,Миколайович,Чоловік,1966-01-26,Живописець,місто Володимир-Волинський,"набережна Запорізька, буд. 49, Збараж, 26112",020 731 63 48,veniiamyn32@example.org
Оробець,Остап,Іванович,Чоловік,2007-10-10,Флорист,хутір Немирів,"вулиця Зої Космодем’янської, буд. 312, Камінь-Каширський, 78322",111 97 13,khaidenko@example.net
Єрьоменко,Віталій,Сергійович,Чоловік,2004-12-15,Музикант,місто Татарбунари,"набережна Чорноморський, буд. 95, Шумськ, 41403",040 502 57 68,cokhrimenko@example.org
Захарченко,Соломія,Андріївна,Жінка,2006-04-29,Юрист,місто Новоград-Волинський,"проспект Іванівський переїзд, буд. 494, Березівка, 59473",+380 96 128-99-10,ubaidak@example.net
Єфименко,Данило,Романович,Чоловік,1965-09-25,Мінералог,селище Кілія,"узвіз Виїзна, буд. 328, Вараш, 69874",+380 41 684-60-56,frantsbhydenko@example.com
Петрик,Арсен,Сергійович,Чоловік,1982-09-16,Євнух,хутір Донецьк,"площа Глиняна, буд. 4, Сєвєродонецьк, 61295",073 205-59-92,eduardadamenko@example.org
Дрозд,Соломон,Павлович,Чоловік,1970-07-29,Астрофізик,хутір Тиврів,"парк Сміливий, буд. 73, Рахів, 77279",443 60 40,xchornovil@example.com
Шаповал,Михайлина,Іванівна,Жінка,1956-01-07,Швачка,місто Городня,"шосе Спортивний, буд. 2, Чорноморськ, 80292",+380 (07) 899-65-59,dankozorian@example.com
Вернидуб,Пантелеймон,Миколайович,Чоловік,1964-12-01,Стропальник,хутір Новодружеськ,"парк Новий, буд. 178 кв. 63, Володимир-Волинський, 25124",+380 66 120-62-96,baranartem@example.com
Непорожній,Роксолана,Максимівна,Жінка,1973-11-27,Євнух,селище Світловодськ,"проспект Дачний, буд. 214 кв. 55, Бровари, 95651",+380 59 879 47 27,iaroslava37@example.net
Атрощенко,Опанас,Васильович,Чоловік,1945-09-18,Електромонтажник,хутір Червоноград,"площа Матроський узвіз, буд. 0 кв. 16, П'ятихатки, 55159",+380 57 687-75-75,vasylynatovstukha@example.org
Харченко,Сніжана,Олександрівна,Жінка,1962-06-20,Історик,село Устилуг,"парк Дунаєва, буд. 6, Городня, 79377",084 947 30 68,hakymenko@example.net
Дрозденко,Олена,Максимівна,Жінка,1963-02-02,Кухар,селище Старобільськ,"провулок Пересипська 6-та, буд. 075, Радивилів, 36811",016 68 71,shevchenkopavlo@example.com
Сірченко,Любов,Петрівна,Жінка,1957-08-26,Біолог,селище Лубни,"вулиця Довженка, буд. 764 кв. 3, Кобеляки, 93632",005 102-18-64,wmasliak@example.net
Рудик,Леон,Максимович,Чоловік,1954-08-20,Актор,місто Токмак,"шосе Дев’ята, буд. 76, Сарни, 73609",+380 29 606-67-23,bohdan05@example.org
Матяш,Оксенія,Романівна,Жінка,1982-06-15,Конструктор,місто Хотин,"сквер Першотравневий 2-й, буд. 132 кв. 11, Бахмут, 09948",099 975-33-79,ivan54@example.com
Ґереґа,Ярослав,Олегович,Чоловік,1974-04-24,Співак,хутір Дунаївці,"сквер Дністровська, буд. 78, Перевальськ, 34182",+380 49 519-64-42,mykhailynavasylevych@example.org
Гуцуляк,Маруся,Сергіївна,Жінка,1995-06-06,Модельєр,селище Володимир-Волинський,"проспект Деволанівська, буд. 5 кв. 611, Зоринськ, 20651",+380 35 232-57-65,anzheladatsiuk@example.org
Валенко,Олекса,Тарасович,Чоловік,1953-12-09,Різноробочий,місто Берислав,"сквер Офіцерська, буд. 94 кв. 3, Рогатин, 63476",024 458 64 09,korsunadam@example.net
Алексюк,Омелян,Іванович,Чоловік,1977-04-14,Хореограф,село Гірське,"сквер Весела, буд. 0 кв. 832, Хотин, 72028",073 658 72 57,iustynaandriichuk@example.net
Височан,Роксолана,Василівна,Жінка,2006-02-03,Епідеміолог,село Устилуг,"проспект Нафтовиків 2-й, буд. 71, Світлодарськ, 79582",306-80-96,frankoliudmyla@example.com
Хмара,Стефан,Михайлович,Чоловік,1976-01-27,Менеджер,місто Ялта,"парк Корнюшина, буд. 03 кв. 745, Тиврів, 04407",674-52-08,mariana94@example.net
Колодуб,Захар,Георгійович,Чоловік,1968-09-27,Геофізик,село Старий Самбір,"сквер Професора Коровицького, буд. 5 кв. 0, Глухів, 30053",744-54-57,okhrimmoskal@example.com
Микитюк,Софія,Василівна,Жінка,1957-03-29,Піаніст,місто Деражня,"вулиця Вєтрова, буд. 37, Жмеринка, 17506",+380 20 565-20-31,andriienkoanastasiia@example.com
Назаренко,Веніямин,Андрійович,Чоловік,1981-01-18,Державний службовець,хутір Городище ,"узвіз Пестеля, буд. 16 кв. 8, Татарбунари, 33987",+380 55 538 06 95,fartushniaktereza@example.com
Остапчук,Алла,Євгенівна,Жінка,1953-12-16,Композитор,село Ніжин,"площа Васнецова, буд. 115, Часів Яр, 72815",611 05 51,jatamaniuk@example.com
Архимович,Богданна,Євгенівна,Жінка,1967-02-11,Маркетолог,хутір Алчевськ,"шосе Середня, буд. 59, Хоростків, 53386",+380 36 993-17-04,semenievtushok@example.com
Цюцюра,Святослав,Тарасович,Чоловік,1961-10-27,Кінокритик,селище Бахмач,"узвіз Середня, буд. 3 кв. 35, Городок, 12639",718 72 28,okhrim39@example.org
Каденюк,Вʼячеслав,Тарасович,Чоловік,1947-01-12,Дизайнер,селище Боково-Хрустальне,"набережна Деревообробний 1-й, буд. 760, Золоте, 26697",+380 71 675 13 96,anzhela35@example.org
Ващенко,Леопольд,Михайлович,Чоловік,1942-06-24,Лікар,село Маріуполь,"вулиця Брестська, буд. 53, Калинівка , 63455",+380 67 667-84-74,hdemianchuk@example.org
Бездітко,Валентин,Олександрович,Чоловік,1981-07-04,Реставратор,хутір Феодосія,"парк Лінія 28-ма, буд. 73, Коростень, 18403",+380 13 061 60 24,khmaratetiana@example.net
Заруба,Тимофій,Романович,Чоловік,1965-06-30,Електротехнік,село Керч,"узвіз Хутірська, буд. 710, Золочів, 22338",065 104-52-39,rebrykodarka@example.net
Джунь,Олена,Андріївна,Жінка,1947-04-17,Локсмайстер,селище Кілія,"вулиця Мічуріна, буд. 63 кв. 6, Підгородне, 16342",+380 46 566-38-13,yopanasenko@example.com
Остапчук,Захар,Михайлович,Чоловік,1974-04-04,Петрограф,хутір Мерефа,"парк Виноградний, буд. 5, Кам'янка-Дніпровська, 23780",+380 (93) 938-05-02,shcherbakbohdanna@example.com
Павличенко,Ірина,Петрівна,Жінка,1960-10-31,Біолог,село Лисичанськ,"узвіз Сімферопольська, буд. 3, Вараш, 17592",006 535-58-86,wdubenko@example.net
Іваненко,Теодор,Степанович,Чоловік,2000-05-14,Патологоанатом,селище Івано-Франківськ,"вулиця Морський, буд. 9 кв. 726, Носівка, 48661",+380 69 016-24-77,udovychenkoheorhii@example.net
Андріїшин,Устим,Іванович,Чоловік,1954-01-02,Бухгалтер,село Харків,"площа Дворянська, буд. 93 кв. 43, Гнівань, 80952",017 030-50-14,albina49@example.com
Чаленко,Ярема,Михайлович,Чоловік,1988-02-28,Філолог,селище Рубіжне,"площа Парковий, буд. 2 кв. 6, Сулимівка (Слов'янськ), 58930",432 54 05,hennadii89@example.net
Єфименко,Наталія,Григорівна,Жінка,1986-04-03,Агроном,хутір Житомир,"шосе Пішонівська, буд. 94 кв. 389, Вуглегірськ, 50454",+380 25 325-82-23,tsliusar@example.com
Онуфрієнко,Тарас,Максимович,Чоловік,2000-04-17,Мікробіолог,селище Кременчук,"парк Середньофонтанський, буд. 02 кв. 1, Овруч, 86953",067 175-94-13,dtytarenko@example.org
Карпенко,Варфоломій,Максимович,Чоловік,1948-06-07,Фармацевт,селище Першотравенськ,"узвіз Достоєвського, буд. 9, Тернопіль, 35682",+380 44 675-65-87,sbevz@example.net
Лесик,Марта,Андріївна,Жінка,1995-08-01,Археолог,місто Кривий Ріг,"вулиця Онілової, буд. 7, Новгород-Сіверський, 51511",200 00 29,ihnatkhudiak@example.org
Товстуха,Дмитро,Михайлович,Чоловік,1968-07-20,Клоун,селище Мар'їнка,"площа Балтський 8-й, буд. 4 кв. 2, Камінь-Каширський, 79097",081-31-90,balabaniarema@example.net
Ващенко-Захарченко,Ярема,Павлович,Чоловік,1958-06-05,Гицель,село Кремінна,"парк Черешнева, буд. 792, Сквира, 55955",087 811 80 72,jiashchuk@example.org
Вишняк,Сніжана,Дмитрівна,Жінка,1943-12-03,Астронавт,місто Новий Розділ,"площа Лейтенанта Шмідта, буд. 947, Кам'янка-Дніпровська, 58385",097 832-77-60,mdurdynets@example.org
Сірко,Камілла,Петрівна,Жінка,2000-07-22,Ботанік,хутір Погребище,"проспект Західний 3-й, буд. 8, Львів, 56572",524 91 00,amvrosii62@example.net
Демʼянчук,Ліза,Миколаївна,Жінка,2008-06-20,Програміст,місто Ананьїв,"сквер Калинова, буд. 340, Конотоп, 77171",031 172-93-50,trokhym73@example.com
Їжак,Лесь,Тарасович,Чоловік,1964-08-25,Ювелір,хутір Петрово-Красносілля,"узвіз Єфімова, буд. 2 кв. 363, Перещепине, 40245",038 153-56-48,vovkteodor@example.org
Симоненко,Кирило,Борисович,Чоловік,1965-02-07,Науковець,хутір Алчевськ,"узвіз Херсонський, буд. 6, Буча, 86638",233-28-84,kopytkoprokhir@example.net
Венгринович,Амалія,Михайлівна,Жінка,1975-05-07,Круп'є,хутір Корець,"вулиця Лінія 51-ша, буд. 9, Біла Церква, 70117",+380 34 154-18-50,fareniukklyment@example.org
Черненко,Ірина,Павлівна,Жінка,1973-08-02,Художник,село Жовква,"сквер Панченка, буд. 715 кв. 175, Турка, 60990",002 121-16-13,ichubai@example.com
Вахній,Ада,Сергіївна,Жінка,1945-03-11,Письменник,село Монастирище,"сквер Марії Демченко, буд. 525 кв. 56, Українськ, 66867",+380 44 459-95-87,lromanchuk@example.net
Парасюк,Євген,Андрійович,Чоловік,1990-12-05,Паблік рилейшнз,село Середина-Буда,"сквер Нова, буд. 61, Івано-Франківськ, 85497",021 615-19-07,cvalenko@example.net
Дубенко,Варвара,Степанівна,Жінка,2005-01-22,Головний меркшейдер,село Тульчин,"провулок Академіка Воробйова, буд. 7, Бердянськ, 53831",+380 26 490-60-24,serhii04@example.net
Парасюк,Зорян,Васильович,Чоловік,1979-02-18,Слідчий,селище Лебедин,"шосе Маршала Бабаджаняна, буд. 1, Суходільськ, 77543",062 368-84-02,zvalenko@example.com
Непорожній,Сергій,Сергійович,Чоловік,1969-04-01,Архітектор,хутір Зіньків,"проспект Обривиста, буд. 42, Рогатин, 02221",071 172-16-26,shvachkastanislav@example.org
Парасюк,Камілла,Андріївна,Жінка,1963-01-12,Реабілітолог,село Тиврів,"узвіз Перемоги, буд. 2, Полтава, 54163",097 877 87 23,bbazavluchenko@example.org
Закусило,Софія,Георгіївна,Жінка,1939-06-12,Кінорежисер,селище Євпаторія,"узвіз Водопровідний 1-й, буд. 204, Переяслав, 75029",153-22-55,pbabak@example.org
Данько,Марта,Михайлівна,Жінка,1985-04-23,Детектив,місто Балта,"сквер Стеценко, буд. 8, Тальне, 89383",017 352 72 57,andrusenkopavlo@example.org
Артюшенко,Любов,Іванівна,Жінка,2006-04-19,Дантист,хутір Інкерман,"вулиця Бузковий 1-й, буд. 9 кв. 77, Носівка, 98589",080 950 96 24,havrylokhudiak@example.org
Козак,Аніта,Андріївна,Жінка,1993-03-15,Дантист,місто Вилкове,"узвіз Красний, буд. 693 кв. 098, Рубіжне, 63379",589-29-02,edyta31@example.net
